year,sector,age,age_group,gender,days_homeless,episodes,chronic_homeless,is_chronic
2018,All,35,adult,male,76,3,0,False
2018,All,28,adult,male,43,1,0,False
2018,All,58,adult,female,139,0,0,False
2018,All,35,adult,male,158,3,0,False
2018,All,18,youth,male,112,1,0,False
2018,All,50,adult,male,71,1,0,False
2018,All,18,youth,female,159,2,0,False
2018,All,28,adult,female,115,1,0,False
2018,All,35,adult,male,12,1,0,False
2018,All,28,adult,male,79,2,0,False
2018,All,35,adult,male,51,2,0,False
2018,All,18,youth,male,165,1,0,False
2018,All,22,youth,male,43,1,0,False
2018,All,50,adult,male,3,2,0,False
2018,All,18,youth,male,88,3,0,False
2018,All,35,adult,female,101,3,0,False
2018,All,35,adult,female,118,2,0,False
2018,All,18,youth,female,116,3,0,False
2018,All,50,adult,male,74,1,0,False
2018,All,42,adult,male,26,3,0,False
2018,All,22,youth,male,176,0,0,False
2018,All,22,youth,female,160,0,0,False
2018,All,22,youth,male,110,2,0,False
2018,All,35,adult,male,55,0,0,False
2018,All,35,adult,male,172,1,0,False
2018,All,28,adult,male,66,3,0,False
2018,All,35,adult,female,179,1,0,False
2018,All,35,adult,male,94,1,0,False
2018,All,58,adult,male,153,0,0,False
2018,All,28,adult,female,78,2,0,False
2018,All,22,youth,male,24,2,0,False
2018,All,35,adult,male,23,2,0,False
2018,All,22,youth,male,111,1,0,False
2018,All,35,adult,male,115,0,0,False
2018,All,58,adult,male,50,0,0,False
2018,All,50,adult,female,92,0,0,False
2018,All,58,adult,male,1,3,0,False
2018,All,28,adult,male,159,0,0,False
2018,All,35,adult,male,45,0,0,False
2018,All,22,youth,male,111,1,0,False
2018,All,28,adult,female,6,2,0,False
2018,All,50,adult,male,171,2,0,False
2018,All,22,youth,female,149,1,0,False
2018,All,18,youth,male,146,0,0,False
2018,All,42,adult,male,91,2,0,False
2018,All,18,youth,male,14,0,0,False
2018,All,42,adult,male,145,0,0,False
2018,All,50,adult,female,96,3,0,False
2018,All,18,youth,female,44,0,0,False
2018,All,42,adult,female,31,2,0,False
2018,All,28,adult,male,148,3,0,False
2018,All,42,adult,male,32,1,0,False
2018,All,58,adult,male,70,2,0,False
2018,All,18,youth,male,112,3,0,False
2018,All,35,adult,female,150,0,0,False
2018,All,22,youth,female,86,0,0,False
2018,All,28,adult,male,115,3,0,False
2018,All,35,adult,male,163,1,0,False
2018,All,28,adult,male,145,0,0,False
2018,All,18,youth,female,30,3,0,False
2018,All,18,youth,male,42,3,0,False
2018,All,18,youth,female,122,3,0,False
2018,All,42,adult,female,167,3,0,False
2018,All,22,youth,female,100,3,0,False
2018,All,22,youth,female,162,1,0,False
2018,All,35,adult,male,148,3,0,False
2018,All,35,adult,male,150,2,0,False
2018,All,35,adult,male,161,0,0,False
2018,All,18,youth,female,178,1,0,False
2018,All,28,adult,male,73,3,0,False
2018,All,35,adult,male,141,1,0,False
2018,All,65,adult,male,116,1,0,False
2018,All,35,adult,male,7,1,0,False
2018,All,42,adult,female,43,0,0,False
2018,All,18,youth,female,28,0,0,False
2018,All,35,adult,male,20,2,0,False
2018,All,28,adult,male,70,0,0,False
2018,All,50,adult,male,127,2,0,False
2018,All,22,youth,male,33,0,0,False
2018,All,22,youth,female,170,0,0,False
2018,All,35,adult,female,173,0,0,False
2018,All,22,youth,male,3,0,0,False
2018,All,50,adult,male,110,2,0,False
2018,All,42,adult,male,147,1,0,False
2018,All,18,youth,male,27,3,0,False
2018,All,28,adult,male,95,0,0,False
2018,All,28,adult,male,33,1,0,False
2018,All,18,youth,male,106,1,0,False
2018,All,28,adult,female,88,3,0,False
2018,All,42,adult,male,84,1,0,False
2018,All,50,adult,female,121,1,0,False
2018,All,28,adult,female,25,3,0,False
2018,All,22,youth,female,174,1,0,False
2018,All,28,adult,male,93,3,0,False
2018,All,58,adult,female,118,3,0,False
2018,All,28,adult,female,89,3,0,False
2018,All,42,adult,female,164,0,0,False
2018,All,50,adult,female,37,2,0,False
2018,All,22,youth,male,146,2,0,False
2018,All,42,adult,female,89,2,0,False
2018,All,22,youth,male,96,3,0,False
2018,All,65,adult,male,93,2,0,False
2018,All,58,adult,female,13,0,0,False
2018,All,35,adult,male,150,1,0,False
2018,All,35,adult,female,68,1,0,False
2018,All,28,adult,female,90,3,0,False
2018,All,35,adult,male,64,2,0,False
2018,All,28,adult,female,30,1,0,False
2018,All,35,adult,female,172,2,0,False
2018,All,35,adult,male,35,3,0,False
2018,All,35,adult,male,174,1,0,False
2018,All,22,youth,male,64,0,0,False
2018,All,35,adult,female,64,1,0,False
2018,All,22,youth,male,159,0,0,False
2018,All,50,adult,male,115,1,0,False
2018,All,42,adult,male,144,0,0,False
2018,All,28,adult,female,137,1,0,False
2018,All,42,adult,male,111,1,0,False
2018,All,42,adult,female,98,2,0,False
2018,All,35,adult,female,2,1,0,False
2018,All,42,adult,male,106,2,0,False
2018,All,22,youth,male,4,2,0,False
2018,All,22,youth,female,101,2,0,False
2018,All,28,adult,female,136,0,0,False
2018,All,50,adult,female,44,1,0,False
2018,All,22,youth,female,23,1,0,False
2018,All,22,youth,female,102,3,0,False
2018,All,35,adult,male,19,3,0,False
2018,All,18,youth,male,128,3,0,False
2018,All,28,adult,male,19,3,0,False
2018,All,58,adult,female,108,0,0,False
2018,All,22,youth,female,73,1,0,False
2018,All,28,adult,male,123,2,0,False
2018,All,18,youth,male,125,3,0,False
2018,All,65,adult,female,177,3,0,False
2018,All,22,youth,male,79,2,0,False
2018,All,50,adult,male,108,3,0,False
2018,All,42,adult,female,41,3,0,False
2018,All,28,adult,male,113,1,0,False
2018,All,58,adult,male,11,2,0,False
2018,All,18,youth,male,91,0,0,False
2018,All,50,adult,female,85,0,0,False
2018,All,35,adult,male,61,3,0,False
2018,All,65,adult,male,11,3,0,False
2018,All,35,adult,female,171,3,0,False
2018,All,22,youth,male,33,2,0,False
2018,All,28,adult,male,0,1,0,False
2018,All,42,adult,male,97,0,0,False
2018,All,42,adult,male,71,3,0,False
2018,All,35,adult,male,118,2,0,False
2018,All,22,youth,male,153,0,0,False
2018,All,18,youth,female,149,3,0,False
2018,All,28,adult,male,32,3,0,False
2018,All,28,adult,male,24,0,0,False
2018,All,22,youth,male,18,0,0,False
2018,All,50,adult,male,63,1,0,False
2018,All,22,youth,male,70,2,0,False
2018,All,35,adult,female,33,2,0,False
2018,All,28,adult,male,168,1,0,False
2018,All,18,youth,male,125,1,0,False
2018,All,35,adult,male,103,3,0,False
2018,All,28,adult,female,120,3,0,False
2018,All,35,adult,female,32,1,0,False
2018,All,28,adult,male,58,1,0,False
2018,All,28,adult,male,9,1,0,False
2018,All,28,adult,female,65,0,0,False
2018,All,42,adult,male,31,3,0,False
2018,All,28,adult,male,68,3,0,False
2018,All,50,adult,male,84,1,0,False
2018,All,35,adult,female,162,3,0,False
2018,All,28,adult,female,90,1,0,False
2018,All,18,youth,female,165,2,0,False
2018,All,18,youth,male,56,1,0,False
2018,All,35,adult,male,110,1,0,False
2018,All,18,youth,male,77,0,0,False
2018,All,22,youth,male,134,0,0,False
